time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-03T03:39:35.000Z,45.7819,26.6671,75.8,4.2,mb,,26,0.07,0.45,us,usc000tbdi,2015-03-27T07:01:21.040Z,"3km W of Paltin, Romania",earthquake,3.3,5.1,0.371,5,reviewed,buc,us
2014-12-12T08:25:38.080Z,45.7388,26.7849,120.1,4,ml,,56,0.13,0.69,us,usc000t5wh,2015-03-04T21:54:59.040Z,"3km WSW of Andreiasu de Jos, Romania",earthquake,4.2,5.7,0.3,1,reviewed,buc,buc
2014-12-07T21:04:05.010Z,45.9073,27.1727,38.3,4.6,mb,,66,0.17,0.89,us,usc000t4ga,2015-02-28T02:16:13.040Z,"5km WNW of Marasheshty, Romania",earthquake,2.3,4.1,0.126,22,reviewed,buc,us
2014-11-22T19:14:16.370Z,45.8977,27.1505,32,5.6,mww,,13,0.149,0.86,us,usb000sz38,2016-11-10T21:45:26.565Z,"5km E of Panciu, Romania",earthquake,2.9,1.8,,,reviewed,us,us
2014-11-12T02:20:51.510Z,43.9412,21.1096,10,3,ml,,67,0.821,0.74,us,usc000sws8,2015-02-12T01:42:35.040Z,"13km WSW of Jagodina, Serbia",earthquake,5.8,2,,,reviewed,us,buc
2014-11-03T13:09:59.050Z,45.5715,26.4019,118.7,4.3,mb,,71,0.16,1,us,usc000stnd,2015-01-20T09:03:14.040Z,"9km N of Gura Teghii, Romania",earthquake,4.2,4.3,0.113,26,reviewed,buc,us
2014-10-31T23:00:04.000Z,45.1647,22.2912,4.1,4.1,mwr,,74,0.41,1,us,usc000st9z,2015-01-30T23:29:41.210Z,"1km NNE of Teregova, Romania",earthquake,3.1,1.7,0.053,34,reviewed,buc,us
2014-09-10T19:45:58.010Z,45.6066,26.526,107.3,4.7,mb,,82,0.26,1.28,us,usb000sb63,2015-01-29T19:03:13.584Z,"14km NNW of Lopatari, Romania",earthquake,4.7,3.3,0.081,51,reviewed,buc,us
2014-08-24T07:12:49.030Z,45.6092,26.3172,147.9,4.3,mb,,153,0.38,0.8,us,usb000s5t6,2014-11-22T02:06:32.000Z,"16km NNW of Gura Teghii, Romania",earthquake,4.8,4.3,0.077,48,reviewed,buc,us
2014-06-24T19:39:53.090Z,43.8088,24.4734,17.9,4.1,mwr,,67,0.2,1.17,us,usc000rlct,2014-09-19T17:23:39.000Z,"3km NW of Corabia, Romania",earthquake,,5.7,0.098,10,reviewed,buc,us
2014-04-03T12:38:57.040Z,45.4746,26.4005,124.1,4.6,mb,,79,0.23,1.05,us,usc000p2ua,2015-01-30T22:04:16.859Z,"1km SW of Gura Teghii, Romania",earthquake,,3.7,0.099,32,reviewed,buc,us
2014-03-29T19:18:04.100Z,45.5782,26.4271,135.7,4.7,mb,,115,0.2,0.77,us,usc000nw6b,2015-01-29T16:25:15.460Z,"10km N of Gura Teghii, Romania",earthquake,,3.3,0.052,115,reviewed,buc,us
2014-03-29T01:55:16.040Z,45.35,26.2472,147.1,4.1,mb,,18,0.25,0.55,us,usc000nvjh,2014-05-29T23:32:07.000Z,"3km E of Chiojdu, Romania",earthquake,,4.8,0.523,3,reviewed,buc,us
2014-03-26T19:46:29.010Z,45.6409,26.5562,132.7,4.6,mb,,71,0.22,0.84,us,usc000nrts,2014-05-29T23:32:05.000Z,"14km WNW of Vintileasca, Romania",earthquake,,4,0.107,29,reviewed,buc,us
2014-02-24T00:22:53.070Z,45.7205,26.6776,106.7,4.4,mb,,62,0.13,1,us,usc000mx4w,2014-05-07T00:03:09.000Z,"3km W of Nereju, Romania",earthquake,,3.9,0.09,35,reviewed,buc,us
2014-02-03T00:26:31.070Z,45.6743,26.471,135,4.1,mb,,25,0.21,0.74,us,usc000mfty,2014-04-08T01:43:24.000Z,"18km ESE of Comandau, Romania",earthquake,,4.1,0.12,21,reviewed,buc,us
2014-01-23T06:15:05.000Z,45.4215,26.2587,127,4.7,mb,,53,0.23,1.24,us,usb000m6js,2015-01-30T11:04:53.389Z,"3km W of Nehoiu, Romania",earthquake,,3.7,0.084,44,reviewed,buc,us
2014-01-12T18:26:02.030Z,45.5036,26.3878,137,3.9,mb,,79,0.23,1.09,us,usc000m1n2,2014-03-15T03:39:19.000Z,"3km NW of Gura Teghii, Romania",earthquake,,2.5,0.194,10,reviewed,buc,us
2013-12-29T19:22:12.050Z,45.6365,26.4553,145,4.3,mb,,21,0.2,0.46,us,usc000ltty,2014-02-28T08:44:13.000Z,"17km N of Gura Teghii, Romania",earthquake,,4.9,0.533,,reviewed,buc,us
2013-11-21T06:38:52.050Z,45.793,26.7264,89.9,4.4,mb,,105,0.07,1.14,us,usb000l3cy,2014-02-11T02:18:53.000Z,"1km NE of Paltin, Romania",earthquake,,3.8,0.143,,reviewed,buc,us
2013-11-07T14:34:53.060Z,45.7094,26.7098,136.2,4.2,mb,,31,0.15,0.76,us,usb000kx54,2014-01-17T00:29:11.000Z,"0km SSW of Nereju, Romania",earthquake,,3.6,0.265,,reviewed,buc,us
2013-10-15T19:33:12.720Z,45.6372,26.5356,140.4,4.9,mb,,14,0.439,1.04,us,usb000kdz1,2015-01-29T21:45:11.353Z,"15km WNW of Vintileasca, Romania",earthquake,,4.6,0.042,,reviewed,us,us
2013-10-06T01:37:20.860Z,45.7013,26.5781,127,5.3,mww,,15,0.491,1.05,us,usb000k7k2,2015-01-28T13:09:36.707Z,"10km W of Nereju, Romania",earthquake,,1.8,,,reviewed,us,us
2013-09-30T05:01:57.740Z,45.487,27.794,4.9,4.1,mb,,,,1.28,us,usb000k2gp,2013-12-13T09:00:37.000Z,"2km SW of Schela, Romania",earthquake,,5.6,0.14,,reviewed,buc,us
2013-09-29T18:10:51.000Z,45.49,27.84,5,4.1,mb,,,,1.83,us,usb000k28u,2013-12-13T09:00:36.000Z,"2km ESE of Schela, Romania",earthquake,,1.9,0.165,,reviewed,buc,us
